topic,response_type,model1,model2,jsd
abortion,authority,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.436
abortion,authority,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.377
abortion,authority,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.407
abortion,authority,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.417
abortion,authority,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.471
abortion,authority,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.47
abortion,authority,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.408
abortion,authority,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.338
abortion,authority,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.413
abortion,authority,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.406
abortion,authority,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.349
abortion,authority,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.347
abortion,authority,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.366
abortion,authority,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.396
abortion,authority,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.338
abortion,authority,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.417
abortion,authority,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.369
abortion,authority,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.359
abortion,authority,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.34
abortion,authority,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.489
abortion,authority,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.461
abortion,authority,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.391
abortion,authority,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.529
abortion,authority,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.443
abortion,authority,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.414
abortion,authority,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.378
abortion,authority,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.371
abortion,authority,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.347
abortion,base,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.363
abortion,base,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.373
abortion,base,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.395
abortion,base,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.333
abortion,base,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.363
abortion,base,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.445
abortion,base,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.408
abortion,base,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.296
abortion,base,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.379
abortion,base,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.331
abortion,base,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.378
abortion,base,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.453
abortion,base,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.362
abortion,base,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.38
abortion,base,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.354
abortion,base,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.396
abortion,base,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.454
abortion,base,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.386
abortion,base,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.371
abortion,base,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.403
abortion,base,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.471
abortion,base,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.427
abortion,base,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.38
abortion,base,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.466
abortion,base,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.41
abortion,base,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.442
abortion,base,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.337
abortion,base,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.423
abortion,care,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.298
abortion,care,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.37
abortion,care,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.429
abortion,care,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.315
abortion,care,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.344
abortion,care,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.373
abortion,care,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.403
abortion,care,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.329
abortion,care,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.45
abortion,care,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.27
abortion,care,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.331
abortion,care,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.368
abortion,care,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.389
abortion,care,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.469
abortion,care,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.352
abortion,care,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.372
abortion,care,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.377
abortion,care,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.408
abortion,care,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.412
abortion,care,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.481
abortion,care,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.487
abortion,care,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.466
abortion,care,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.38
abortion,care,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.387
abortion,care,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.364
abortion,care,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.293
abortion,care,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.404
abortion,care,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.417
abortion,equality,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.473
