topic1,topic2,jsd
abortion,acceptance,0.366
abortion,affirmative-action,0.377
abortion,american-israeli-relationship,0.355
abortion,anti-gay,0.355
abortion,anti-science,0.386
abortion,atheism-atheist,0.32
abortion,biblical,0.357
abortion,big-food,0.402
abortion,big-pharma,0.39
abortion,birth-control,0.272
abortion,black-lives-matter,0.346
abortion,capital-punishment-death-penalty,0.283
abortion,capitalism,0.355
abortion,civil-rights,0.316
abortion,civil-society,0.368
abortion,color-blindness,0.355
abortion,common-core,0.377
abortion,conservative,0.325
abortion,conversion-therapy-reparative-therapy,0.303
abortion,discrimination,0.339
abortion,environmentalist-environmentalism,0.355
abortion,equality,0.269
abortion,filter-bubble,0.375
abortion,forced-treatment,0.342
abortion,freedom-of-religion-religious-freedom-religious-liberty,0.353
abortion,gun-control,0.327
abortion,gun-rights,0.375
abortion,gun-violence,0.331
abortion,inequality-inequity,0.331
abortion,libertarianism-libertarian-party,0.379
abortion,marijuana,0.331
abortion,mental-health,0.314
abortion,national-defense-national-security,0.358
abortion,patriotism-patriotic-patriot,0.357
abortion,police-brutality,0.397
abortion,religion-religious,0.326
abortion,school-choice,0.327
abortion,scientific,0.401
abortion,social-justice,0.352
abortion,social-responsibility,0.3
abortion,stereotypes,0.356
acceptance,affirmative-action,0.335
acceptance,american-israeli-relationship,0.398
acceptance,anti-gay,0.272
acceptance,anti-science,0.414
acceptance,atheism-atheist,0.369
acceptance,biblical,0.404
acceptance,big-food,0.427
acceptance,big-pharma,0.438
acceptance,birth-control,0.393
acceptance,black-lives-matter,0.365
acceptance,capital-punishment-death-penalty,0.405
acceptance,capitalism,0.373
acceptance,civil-rights,0.289
acceptance,civil-society,0.378
acceptance,color-blindness,0.323
acceptance,common-core,0.416
acceptance,conservative,0.358
acceptance,conversion-therapy-reparative-therapy,0.265
acceptance,discrimination,0.336
acceptance,environmentalist-environmentalism,0.389
acceptance,equality,0.315
acceptance,filter-bubble,0.424
acceptance,forced-treatment,0.341
acceptance,freedom-of-religion-religious-freedom-religious-liberty,0.352
acceptance,gun-control,0.413
acceptance,gun-rights,0.412
acceptance,gun-violence,0.403
acceptance,inequality-inequity,0.394
acceptance,libertarianism-libertarian-party,0.422
acceptance,marijuana,0.391
acceptance,mental-health,0.363
acceptance,national-defense-national-security,0.381
acceptance,patriotism-patriotic-patriot,0.352
acceptance,police-brutality,0.438
acceptance,religion-religious,0.37
acceptance,school-choice,0.392
acceptance,scientific,0.467
acceptance,social-justice,0.375
acceptance,social-responsibility,0.365
acceptance,stereotypes,0.36
affirmative-action,american-israeli-relationship,0.375
affirmative-action,anti-gay,0.379
affirmative-action,anti-science,0.403
affirmative-action,atheism-atheist,0.374
affirmative-action,biblical,0.409
affirmative-action,big-food,0.373
affirmative-action,big-pharma,0.379
affirmative-action,birth-control,0.382
affirmative-action,black-lives-matter,0.339
affirmative-action,capital-punishment-death-penalty,0.396
affirmative-action,capitalism,0.334
affirmative-action,civil-rights,0.346
affirmative-action,civil-society,0.33
affirmative-action,color-blindness,0.29
affirmative-action,common-core,0.301
affirmative-action,conservative,0.342
affirmative-action,conversion-therapy-reparative-therapy,0.331
affirmative-action,discrimination,0.325
affirmative-action,environmentalist-environmentalism,0.384
affirmative-action,equality,0.271
affirmative-action,filter-bubble,0.359
affirmative-action,forced-treatment,0.352
affirmative-action,freedom-of-religion-religious-freedom-religious-liberty,0.375
affirmative-action,gun-control,0.404
affirmative-action,gun-rights,0.435
affirmative-action,gun-violence,0.398
affirmative-action,inequality-inequity,0.358
affirmative-action,libertarianism-libertarian-party,0.387
affirmative-action,marijuana,0.382
affirmative-action,mental-health,0.368
affirmative-action,national-defense-national-security,0.353
affirmative-action,patriotism-patriotic-patriot,0.368
affirmative-action,police-brutality,0.412
affirmative-action,religion-religious,0.352
affirmative-action,school-choice,0.318
affirmative-action,scientific,0.42
affirmative-action,social-justice,0.351
affirmative-action,social-responsibility,0.331
affirmative-action,stereotypes,0.325
american-israeli-relationship,anti-gay,0.387
american-israeli-relationship,anti-science,0.417
american-israeli-relationship,atheism-atheist,0.389
american-israeli-relationship,biblical,0.388
american-israeli-relationship,big-food,0.386
american-israeli-relationship,big-pharma,0.388
american-israeli-relationship,birth-control,0.382
american-israeli-relationship,black-lives-matter,0.345
american-israeli-relationship,capital-punishment-death-penalty,0.382
american-israeli-relationship,capitalism,0.331
american-israeli-relationship,civil-rights,0.337
american-israeli-relationship,civil-society,0.355
american-israeli-relationship,color-blindness,0.359
american-israeli-relationship,common-core,0.379
american-israeli-relationship,conservative,0.324
american-israeli-relationship,conversion-therapy-reparative-therapy,0.342
american-israeli-relationship,discrimination,0.37
american-israeli-relationship,environmentalist-environmentalism,0.362
american-israeli-relationship,equality,0.305
american-israeli-relationship,filter-bubble,0.4
american-israeli-relationship,forced-treatment,0.369
american-israeli-relationship,freedom-of-religion-religious-freedom-religious-liberty,0.36
american-israeli-relationship,gun-control,0.379
american-israeli-relationship,gun-rights,0.426
american-israeli-relationship,gun-violence,0.384
american-israeli-relationship,inequality-inequity,0.363
american-israeli-relationship,libertarianism-libertarian-party,0.37
american-israeli-relationship,marijuana,0.382
american-israeli-relationship,mental-health,0.37
american-israeli-relationship,national-defense-national-security,0.318
american-israeli-relationship,patriotism-patriotic-patriot,0.337
american-israeli-relationship,police-brutality,0.402
american-israeli-relationship,religion-religious,0.349
american-israeli-relationship,school-choice,0.392
american-israeli-relationship,scientific,0.426
american-israeli-relationship,social-justice,0.365
american-israeli-relationship,social-responsibility,0.336
american-israeli-relationship,stereotypes,0.387
anti-gay,anti-science,0.328
anti-gay,atheism-atheist,0.303
anti-gay,biblical,0.343
anti-gay,big-food,0.45
anti-gay,big-pharma,0.457
anti-gay,birth-control,0.379
anti-gay,black-lives-matter,0.332
anti-gay,capital-punishment-death-penalty,0.364
anti-gay,capitalism,0.382
anti-gay,civil-rights,0.23
anti-gay,civil-society,0.373
anti-gay,color-blindness,0.329
anti-gay,common-core,0.421
anti-gay,conservative,0.328
anti-gay,conversion-therapy-reparative-therapy,0.295
anti-gay,discrimination,0.289
anti-gay,environmentalist-environmentalism,0.373
anti-gay,equality,0.293
anti-gay,filter-bubble,0.425
anti-gay,forced-treatment,0.364
anti-gay,freedom-of-religion-religious-freedom-religious-liberty,0.343
anti-gay,gun-control,0.391
anti-gay,gun-rights,0.409
anti-gay,gun-violence,0.375
anti-gay,inequality-inequity,0.36
anti-gay,libertarianism-libertarian-party,0.402
anti-gay,marijuana,0.396
anti-gay,mental-health,0.379
anti-gay,national-defense-national-security,0.382
anti-gay,patriotism-patriotic-patriot,0.336
anti-gay,police-brutality,0.407
anti-gay,religion-religious,0.33
anti-gay,school-choice,0.404
anti-gay,scientific,0.453
anti-gay,social-justice,0.332
anti-gay,social-responsibility,0.338
anti-gay,stereotypes,0.35
anti-science,atheism-atheist,0.355
anti-science,biblical,0.399
anti-science,big-food,0.443
anti-science,big-pharma,0.42
anti-science,birth-control,0.39
anti-science,black-lives-matter,0.387
anti-science,capital-punishment-death-penalty,0.403
anti-science,capitalism,0.394
anti-science,civil-rights,0.391
anti-science,civil-society,0.38
anti-science,color-blindness,0.402
anti-science,common-core,0.436
anti-science,conservative,0.334
anti-science,conversion-therapy-reparative-therapy,0.386
anti-science,discrimination,0.356
anti-science,environmentalist-environmentalism,0.375
anti-science,equality,0.332
anti-science,filter-bubble,0.423
anti-science,forced-treatment,0.418
anti-science,freedom-of-religion-religious-freedom-religious-liberty,0.406
anti-science,gun-control,0.412
anti-science,gun-rights,0.445
anti-science,gun-violence,0.4
anti-science,inequality-inequity,0.386
anti-science,libertarianism-libertarian-party,0.394
anti-science,marijuana,0.409
anti-science,mental-health,0.403
anti-science,national-defense-national-security,0.393
anti-science,patriotism-patriotic-patriot,0.359
anti-science,police-brutality,0.423
anti-science,religion-religious,0.379
anti-science,school-choice,0.436
anti-science,scientific,0.336
anti-science,social-justice,0.356
anti-science,social-responsibility,0.349
anti-science,stereotypes,0.382
atheism-atheist,biblical,0.232
atheism-atheist,big-food,0.445
atheism-atheist,big-pharma,0.444
atheism-atheist,birth-control,0.337
atheism-atheist,black-lives-matter,0.345
atheism-atheist,capital-punishment-death-penalty,0.357
atheism-atheist,capitalism,0.385
atheism-atheist,civil-rights,0.333
atheism-atheist,civil-society,0.353
atheism-atheist,color-blindness,0.336
atheism-atheist,common-core,0.384
atheism-atheist,conservative,0.303
atheism-atheist,conversion-therapy-reparative-therapy,0.334
atheism-atheist,discrimination,0.311
atheism-atheist,environmentalist-environmentalism,0.366
atheism-atheist,equality,0.3
atheism-atheist,filter-bubble,0.401
